level,position,row,col,value,increment
30,20,2,4,1,8
30,21,2,5,12,11
30,22,2,6,1,14
30,23,2,7,12,11
30,24,3,0,5,4
30,25,3,1,1,5
30,26,3,2,1,6
30,27,3,3,1,7
30,28,3,4,11,10
30,29,3,5,1,17
30,30,3,6,17,16
30,31,3,7,1,12
30,32,4,0,1,5
30,33,4,1,1,6
30,34,4,2,1,9
30,35,4,3,12,11
30,36,4,4,15,14
30,37,4,5,23,22
30,38,4,6,1,21
30,39,4,7,1,15
30,40,5,0,1,6
30,41,5,1,10,9
30,42,5,2,1,11
30,43,5,3,14,13
30,44,5,4,17,16
30,45,5,5,1,21
30,46,5,6,24,23
30,47,5,7,19,18
30,48,6,0,1,10
30,49,6,1,14,13
30,50,6,2,1,16
30,51,6,3,18,17
30,52,6,4,1,21
30,53,6,5,25,24
30,54,6,6,1,24
30,55,6,7,21,20
30,56,7,0,1,14
30,57,7,1,19,18
30,58,7,2,20,19
30,59,7,3,1,20
30,60,7,4,1,22
30,61,7,5,21,20
30,62,7,6,1,21
30,63,7,7,1,20
40,0,0,0,1,4
40,1,0,1,4,3
40,2,0,2,4,3
40,3,0,3,5,4
40,4,0,4,6,5
40,5,0,5,9,8
40,6,0,6,11,10
40,7,0,7,13,12
40,8,1,0,4,3
40,9,1,1,4,3
40,10,1,2,5,4
40,11,1,3,1,5
40,12,1,4,7,6
40,13,1,5,12,11
40,14,1,6,1,12
40,15,1,7,12,11
40,16,2,0,5,4
40,17,2,1,5,4
40,18,2,2,1,5
40,19,2,3,1,6
40,20,2,4,1,8
40,21,2,5,12,11
40,22,2,6,1,14
40,23,2,7,12,11
40,24,3,0,5,4
40,25,3,1,1,5
40,26,3,2,1,6
40,27,3,3,1,7
40,28,3,4,11,10
40,29,3,5,1,17
40,30,3,6,17,16
40,31,3,7,1,12
40,32,4,0,1,5
40,33,4,1,1,6
40,34,4,2,1,9
40,35,4,3,12,11
40,36,4,4,15,14
40,37,4,5,23,22
40,38,4,6,1,21
40,39,4,7,16,15
40,40,5,0,1,6
40,41,5,1,10,9
40,42,5,2,1,11
40,43,5,3,14,13
40,44,5,4,17,16
40,45,5,5,1,21
40,46,5,6,24,23
40,47,5,7,19,18
40,48,6,0,11,10
40,49,6,1,14,13
40,50,6,2,17,16
40,51,6,3,18,17
40,52,6,4,22,21
40,53,6,5,25,24
40,54,6,6,25,24
40,55,6,7,21,20
40,56,7,0,1,14
40,57,7,1,19,18
40,58,7,2,20,19
40,59,7,3,1,20
40,60,7,4,1,22
40,61,7,5,21,20
40,62,7,6,1,21
40,63,7,7,1,20
50,0,0,0,1,4
50,1,0,1,4,3
50,2,0,2,4,3
50,3,0,3,5,4
50,4,0,4,6,5
50,5,0,5,9,8
50,6,0,6,11,10
50,7,0,7,13,12
50,8,1,0,4,3
50,9,1,1,4,3
50,10,1,2,5,4
50,11,1,3,6,5
50,12,1,4,7,6
50,13,1,5,12,11
50,14,1,6,1,12
50,15,1,7,12,11
50,16,2,0,5,4
50,17,2,1,5,4
50,18,2,2,1,5
50,19,2,3,1,6
50,20,2,4,1,8
50,21,2,5,12,11
50,22,2,6,15,14
50,23,2,7,12,11
50,24,3,0,5,4
50,25,3,1,6,5
50,26,3,2,1,6
50,27,3,3,1,7
50,28,3,4,11,10
50,29,3,5,1,17
50,30,3,6,17,16
50,31,3,7,13,12
50,32,4,0,6,5
50,33,4,1,7,6
50,34,4,2,10,9
50,35,4,3,12,11
50,36,4,4,15,14
50,37,4,5,23,22
50,38,4,6,22,21
50,39,4,7,16,15
50,40,5,0,1,6
50,41,5,1,10,9
50,42,5,2,1,11
50,43,5,3,14,13
50,44,5,4,17,16
50,45,5,5,1,21
50,46,5,6,24,23
50,47,5,7,19,18
50,48,6,0,11,10
50,49,6,1,14,13
50,50,6,2,17,16
50,51,6,3,18,17
50,52,6,4,22,21
50,53,6,5,25,24
50,54,6,6,25,24
50,55,6,7,21,20
50,56,7,0,1,14
50,57,7,1,19,18
50,58,7,2,20,19
50,59,7,3,1,20
50,60,7,4,1,22
50,61,7,5,21,20
50,62,7,6,22,21
50,63,7,7,21,20
64,0,0,0,5,4
64,1,0,1,4,3
64,2,0,2,4,3
64,3,0,3,5,4
64,4,0,4,6,5
64,5,0,5,9,8
64,6,0,6,11,10
64,7,0,7,13,12
64,8,1,0,4,3
64,9,1,1,4,3
64,10,1,2,5,4
64,11,1,3,6,5
64,12,1,4,7,6
64,13,1,5,12,11
64,14,1,6,13,12
64,15,1,7,12,11
64,16,2,0,5,4
64,17,2,1,5,4
64,18,2,2,6,5
64,19,2,3,7,6
64,20,2,4,9,8
64,21,2,5,12,11
64,22,2,6,15,14
64,23,2,7,12,11
64,24,3,0,5,4
64,25,3,1,6,5
64,26,3,2,7,6
64,27,3,3,8,7
64,28,3,4,11,10
64,29,3,5,18,17
64,30,3,6,17,16
64,31,3,7,13,12
64,32,4,0,6,5
64,33,4,1,7,6
64,34,4,2,10,9
64,35,4,3,12,11
64,36,4,4,15,14
64,37,4,5,23,22
64,38,4,6,22,21
64,39,4,7,16,15
64,40,5,0,7,6
64,41,5,1,10,9
64,42,5,2,12,11
64,43,5,3,14,13
64,44,5,4,17,16
64,45,5,5,22,21
64,46,5,6,24,23
64,47,5,7,19,18
64,48,6,0,11,10
64,49,6,1,14,13
64,50,6,2,17,16
64,51,6,3,18,17
64,52,6,4,22,21
64,53,6,5,25,24
64,54,6,6,25,24
64,55,6,7,21,20
64,56,7,0,15,14
64,57,7,1,19,18
64,58,7,2,20,19
64,59,7,3,21,20
64,60,7,4,23,22
64,61,7,5,21,20
64,62,7,6,22,21
64,63,7,7,21,20
80,0,0,0,5,4
80,1,0,1,7,3
80,2,0,2,7,3
80,3,0,3,9,4
80,4,0,4,11,5
80,5,0,5,17,8
80,6,0,6,11,10
80,7,0,7,13,12
80,8,1,0,4,3
80,9,1,1,4,3
80,10,1,2,5,4
80,11,1,3,6,5
80,12,1,4,7,6
80,13,1,5,12,11
80,14,1,6,13,12
80,15,1,7,12,11
80,16,2,0,5,4
80,17,2,1,9,4
80,18,2,2,6,5
80,19,2,3,7,6
80,20,2,4,9,8
80,21,2,5,12,11
80,22,2,6,15,14
80,23,2,7,12,11
80,24,3,0,5,4
80,25,3,1,6,5
80,26,3,2,7,6
80,27,3,3,8,7
80,28,3,4,11,10
80,29,3,5,18,17
80,30,3,6,17,16
80,31,3,7,13,12
80,32,4,0,6,5
80,33,4,1,7,6
80,34,4,2,10,9
80,35,4,3,12,11
80,36,4,4,29,14
80,37,4,5,45,22
80,38,4,6,22,21
80,39,4,7,16,15
80,40,5,0,7,6
80,41,5,1,19,9
80,42,5,2,12,11
80,43,5,3,14,13
80,44,5,4,33,16
80,45,5,5,22,21
80,46,5,6,47,23
80,47,5,7,37,18
80,48,6,0,11,10
80,49,6,1,27,13
80,50,6,2,17,16
80,51,6,3,18,17
80,52,6,4,22,21
80,53,6,5,49,24
80,54,6,6,25,24
80,55,6,7,41,20
80,56,7,0,15,14
80,57,7,1,19,18
80,58,7,2,39,19
80,59,7,3,21,20
80,60,7,4,23,22
80,61,7,5,21,20
80,62,7,6,22,21
80,63,7,7,21,20
100,0,0,0,5,4
100,1,0,1,7,3
100,2,0,2,7,3
100,3,0,3,9,4
100,4,0,4,11,5
100,5,0,5,17,8
100,6,0,6,21,10
100,7,0,7,25,12
100,8,1,0,7,3
100,9,1,1,4,3
100,10,1,2,9,4
100,11,1,3,6,5
100,12,1,4,13,6
100,13,1,5,12,11
100,14,1,6,13,12
100,15,1,7,23,11
100,16,2,0,9,4
100,17,2,1,9,4
100,18,2,2,6,5
100,19,2,3,7,6
100,20,2,4,9,8
100,21,2,5,23,11
100,22,2,6,15,14
100,23,2,7,23,11
100,24,3,0,9,4
100,25,3,1,6,5
100,26,3,2,7,6
100,27,3,3,8,7
100,28,3,4,21,10
100,29,3,5,18,17
100,30,3,6,33,16
100,31,3,7,13,12
100,32,4,0,6,5
100,33,4,1,7,6
100,34,4,2,10,9
100,35,4,3,23,11
100,36,4,4,29,14
100,37,4,5,45,22
100,38,4,6,22,21
100,39,4,7,16,15
